,count,mean,min,25%,50%,75%,max,std,null_count,null_pct
effluent_ammonium_mg_l_rolling_mean_1h,105342.0,0.5362572844231285,0.0,0.0045,0.018750001,0.2117500011875,12.0,1.4823344010734782,55,0.052
effluent_ammonium_mg_l_rolling_std_1h,105342.0,0.03853011378534108,0.0,0.0,0.0,0.015675414922997472,3.039275160134194,0.12851159646651453,55,0.052
do_avg_mg_l_delta,105396.0,-3.205055176667079e-06,-3.731550359399998,-0.029549980399999676,0.0,0.03014998439999994,6.620700263599999,0.10701078594133065,1,0.001
do_avg_mg_l_rolling_mean_1h,105392.0,2.485545616008755,0.2688000038333333,1.9979999956,2.4936937391833336,2.9117406165000004,6.371674992266667,0.6456657794262103,5,0.005
do_avg_mg_l_rolling_std_1h,105392.0,0.06275293301863273,0.0,0.03326207402300754,0.04425120049751399,0.06029648036620773,2.3811324180079794,0.10474025427073463,5,0.005
effluent_ph_delta,105158.0,-1.8328098353557457e-05,-1.75459384975,-0.0017499929999997832,0.0,0.0034999849999994836,2.8384995459999995,0.023343033696251306,239,0.227
effluent_ph_rolling_mean_1h,105176.0,6.387928313164439,4.003575189028572,6.2931460538333335,6.379916508916667,6.491114417604166,9.9544649421875,0.25686739501542943,221,0.21
effluent_ph_rolling_std_1h,105176.0,0.009412753345969001,0.0,0.0031066752165664468,0.005025893257365119,0.008341370794158066,1.970470872632831,0.03553495947201963,221,0.21
effluent_ss_delta,105361.0,-0.0008988221246223977,-3588.125,-33.4375,0.3125,35.625,3618.75,95.59233415221061,36,0.034
effluent_ss_rolling_mean_1h,105359.0,3589.018163749286,1853.984375,3324.1015625,3613.515625,3825.5729166666665,4996.223958333333,375.2302796060811,38,0.036
effluent_ss_rolling_std_1h,105359.0,53.18592667713084,0.0,30.555849910819084,42.53886195312077,60.80644354518167,1645.4832793248765,58.76631629929813,38,0.036
